"cycle","individual","origin_busstop","destin_busstop","origin_zone","destin_zone","trip_type","busline","direction","bus_distance","walk_distance","wait_time","board_time","arrival_time"
120,95876,92,329,26,26,1,"L21",1,2089,0,0,170,780
120,29410,367,369,8,8,1,"L20",1,1651,287,0,530,840
120,88213,303,308,26,26,1,"L20",2,2056,135,0,300,900
120,95951,303,76,26,26,1,"L20",2,2311,177,0,300,1020
120,95954,303,76,26,26,1,"L20",2,2311,242,0,300,1020
120,95732,304,76,26,26,1,"L20",2,2017,71,0,430,1020
120,95482,329,331,26,25,1,"L21",1,937,484,0,780,1040
120,95909,328,377,26,26,1,"L21",1,1835,0,0,620,1140
120,95321,327,377,26,26,1,"L21",1,1974,138,600,620,1140
120,95807,329,377,26,26,1,"L21",1,1285,109,600,780,1140
180,76676,51,1657,22,21,1,"L6",2,3703,583,0,130,1240
180,95494,72,77,26,26,1,"L11",1,1974,15,600,620,1250
180,51905,39,410,12,24,1,"L22",1,3073,90,0,690,1280
180,64485,407,410,27,24,1,"L22",1,1661,475,600,1000,1280
180,78592,44,402,21,27,2,"L21",2,2581,423,0,420,870
180,78592,209,1671,27,27,3,"L66",2,1706,434,870,960,1320
180,44973,1182,1183,10,9,1,"L38",1,5359,0,600,820,1400
180,3478,2,265,7,16,1,"L17",1,6689,483,0,0,1420
180,78790,52,58,23,21,1,"L10",2,6642,871,0,290,1430
180,63661,1654,58,21,21,1,"L9",1,2603,385,600,760,1470
180,82318,1669,1672,24,27,1,"L66",2,2853,739,0,470,1530
180,48750,221,13,11,10,1,"L15",2,5547,345,0,380,1540
180,65880,399,379,21,26,1,"L21",2,10239,557,0,0,1630
180,95738,301,304,25,26,1,"L18",1,2156,204,600,1190,1660
180,26346,180,184,7,23,1,"L27",1,7226,217,0,0,1660
180,39345,1337,1342,9,5,1,"L4",2,1866,43,600,960,1670
180,2846,1,226,1,11,1,"L16",1,6427,0,0,0,1710
180,99407,402,302,27,25,1,"L21",2,5291,692,600,870,1720
180,77486,767,459,23,24,1,"L27",2,2102,242,600,1140,1720
180,77201,767,459,23,24,1,"L27",2,2102,333,1200,1240,1720
180,86609,71,81,25,20,1,"L11",1,5605,17,600,620,1730
180,28507,370,374,8,4,1,"L20",1,3542,366,600,990,1730
180,87597,70,72,25,26,2,"L11",1,932,46,0,350,620
180,87597,330,394,26,27,3,"L21",1,4819,443,620,880,1780
240,82879,410,186,24,23,1,"L27",1,1836,25,1200,1290,1800
240,64982,399,303,21,26,1,"L21",2,11481,727,0,0,1820
240,83358,1666,209,24,27,2,"L66",2,2194,55,0,0,850
240,83358,402,303,27,26,3,"L21",2,5585,190,850,870,1820
240,26883,862,1678,8,1,1,"L7",1,1634,60,1200,1300,1820
240,78609,158,464,23,27,1,"L5",2,2684,169,0,890,1830
240,77275,768,460,23,24,1,"L27",2,2144,0,1200,1240,1850
240,25374,180,187,7,23,1,"L27",1,8062,197,0,0,1900
240,83178,411,187,24,23,1,"L27",1,1536,245,600,1410,1900
240,45091,22,27,10,6,1,"L1",2,4205,663,600,780,1920
240,99524,402,305,27,26,1,"L21",2,6457,488,600,870,2020
240,87525,331,396,25,27,1,"L21",1,5660,1096,600,1040,2040
240,27046,370,376,8,1,1,"L20",1,5000,345,0,990,2060
240,9097,1,41,1,21,1,"L10",1,6881,586,0,0,2070
240,25282,18,41,6,21,1,"L10",1,5077,492,600,610,2070
240,17320,338,347,3,2,1,"L2",1,3386,309,0,220,2080
240,99491,403,306,27,26,1,"L21",2,5976,551,0,1080,2120
240,51668,39,407,12,27,1,"L5",1,1771,475,1200,1650,2150
240,29257,391,862,8,8,2,"L7",1,1783,80,600,990,1300
240,29257,862,864,8,8,3,"L29",1,4130,30,1300,1800,2160
240,3347,506,997,1,13,1,"L33",1,4144,82,1800,1800,2160
240,94681,330,397,26,21,1,"L21",1,6437,399,0,880,2180
240,99540,402,307,27,26,1,"L21",2,7025,316,0,870,2210
240,38812,1341,321,9,10,2,"L4",2,2446,184,600,630,1540
240,38812,260,261,6,2,3,"L17",1,1315,256,1540,2100,2260
240,86998,330,55,26,21,1,"L21",1,6959,227,600,880,2280
240,94270,377,55,26,21,1,"L21",1,6227,357,1200,1250,2280
240,65470,42,308,21,26,1,"L21",2,12544,0,0,170,2300
240,29276,365,369,8,8,1,"L6",1,2844,238,1200,1420,2300
240,18331,3,216,7,11,1,"L15",1,8472,632,0,210,2310
240,28423,367,374,8,4,1,"L6",1,5193,99,600,740,2340
240,76139,51,988,22,6,1,"L6",2,8337,791,0,130,2340
240,29634,1673,390,8,8,1,"L7",1,2703,114,600,1500,2340
240,3095,1,7,1,6,1,"L1",1,3664,480,1200,1200,2360
240,69484,250,256,22,11,1,"L16",2,3137,46,1200,1260,2370
240,49708,222,231,11,22,1,"L16",1,4397,88,600,1170,2380
240,65432,42,76,21,26,1,"L21",2,12799,71,0,170,2390
240,66020,400,76,21,26,1,"L21",2,8928,50,0,550,2390
300,70455,50,158,22,23,1,"L13",1,2197,409,1200,1560,2400
300,98668,394,56,27,21,1,"L21",1,5326,139,0,1780,2400
300,27514,1675,1680,8,2,1,"L7",1,4595,520,0,610,2400
300,27420,390,1680,8,2,1,"L7",1,4134,95,0,790,2400
300,196,1678,1680,1,2,1,"L7",1,1302,201,0,1820,2400
300,56978,89,97,20,26,1,"L11",2,3176,692,0,1600,2410
300,95733,93,97,26,26,1,"L11",2,1713,593,1200,2040,2410
300,26291,3,953,7,21,1,"L3",1,8367,100,0,250,2410
300,18515,3,262,7,16,1,"L17",1,3747,472,1200,1620,2430
300,29291,366,370,8,8,1,"L6",1,2387,14,600,1660,2460
300,65350,43,77,21,26,1,"L21",2,10389,0,0,280,2470
300,83901,1669,209,24,27,2,"L66",2,1123,55,0,470,850
300,83901,402,77,27,26,3,"L21",2,7964,55,850,870,2470
300,86598,70,80,25,20,1,"L11",1,3860,19,1200,1410,2480
300,93088,76,80,26,20,1,"L11",1,1851,0,1800,2030,2480
300,23757,314,178,10,10,1,"L36",1,1550,492,1200,2210,2480
300,56058,1688,109,19,18,1,"L7",2,3097,324,600,1720,2480
300,18113,3,23,7,10,1,"L15",1,4354,683,600,1590,2550
300,18519,3,263,7,16,1,"L17",1,4066,396,600,1620,2560
300,63119,399,63,21,12,1,"L9",1,4217,34,0,1280,2560
300,27815,1673,1681,8,2,1,"L7",1,7552,139,0,0,2590
300,280,1677,1681,1,2,1,"L7",1,3066,16,1200,1590,2590
300,80275,1666,64,24,7,1,"L66",2,7445,195,0,0,2630
300,93770,330,398,26,21,1,"L21",1,10430,357,0,880,2640
300,86970,330,398,26,21,1,"L21",1,10430,556,600,880,2640
300,93425,377,398,26,21,1,"L21",1,9698,357,1200,1250,2640
300,82219,394,398,27,21,1,"L21",1,6025,954,0,1780,2640
300,81899,396,398,27,21,1,"L21",1,4942,815,1800,2040,2640
300,98510,57,398,21,21,1,"L21",1,699,296,2400,2500,2640
300,51716,39,45,12,23,1,"L10",1,6821,208,600,1710,2650
300,76248,52,60,23,12,1,"L10",2,8009,89,1200,1200,2660
300,76161,52,60,23,12,1,"L10",2,8009,317,600,1200,2660
300,76156,156,62,23,12,1,"L27",2,5604,0,1200,1430,2680
300,7913,32,99,7,25,1,"L11",2,9554,259,0,350,2700
300,76167,157,63,23,12,1,"L5",2,5892,260,600,750,2700
300,83269,1668,1672,24,27,2,"L66",2,3174,37,0,340,1530
300,83269,406,411,27,24,3,"L5",1,2249,72,1530,2000,2710
300,83270,1669,1672,24,27,2,"L66",2,2853,37,600,640,1530
300,83270,406,411,27,24,3,"L5",1,2249,250,1530,2000,2710
300,60793,1653,64,21,7,1,"L9",1,6430,48,600,600,2720
300,2199,1,1333,1,9,1,"L4",1,5509,340,600,960,2740
300,54771,267,272,16,16,1,"L17",1,4826,0,600,1830,2770
300,69845,501,980,22,21,1,"L3",2,2210,59,1800,1980,2780
300,47974,7,16,6,6,1,"L1",1,4384,312,600,1130,2790
300,39336,1339,1342,9,5,1,"L4",2,1219,324,2400,2500,2790
300,63921,399,44,21,21,2,"L21",2,4570,303,0,1800,2290
300,63921,44,46,21,23,3,"L10",1,3271,324,2290,2510,2810
300,7712,32,100,7,25,1,"L11",2,9752,299,0,350,2810
300,87810,404,303,25,26,2,"L21",2,2643,64,0,1400,1820
300,87810,98,100,25,25,3,"L11",2,871,104,1820,2540,2810
300,66051,399,402,21,27,1,"L21",2,6653,682,1800,1800,2830
300,66316,42,402,21,27,1,"L21",2,5954,283,600,2000,2830
300,66318,42,402,21,27,1,"L21",2,5954,406,1800,2000,2830
300,66319,44,402,21,27,1,"L21",2,2581,482,1200,2290,2830
300,64434,44,402,21,27,1,"L21",2,2581,926,1800,2290,2830
300,66202,400,402,21,27,1,"L21",2,2083,56,600,2490,2830
300,77322,157,461,23,27,2,"L5",2,1934,131,1800,1830,2550
300,77322,401,402,27,27,3,"L21",2,1430,481,2550,2660,2830
300,46913,221,215,11,1,1,"L15",2,8184,45,0,380,2850
300,95292,326,331,26,25,1,"L21",1,1920,0,600,2230,2850
300,51010,83,2,13,7,1,"L12",2,2929,701,600,2020,2860
300,9301,355,1,2,1,1,"L2",2,2841,45,1200,1260,2880
300,7902,506,90,1,20,2,"L33",1,5384,96,0,0,860
300,7902,90,101,20,25,3,"L11",2,4060,0,860,1730,2900
300,87828,98,101,25,25,1,"L11",2,1295,244,0,2540,2900
300,87985,98,101,25,25,1,"L11",2,1295,245,600,2540,2900
300,52765,290,295,16,2,1,"L17",2,4374,72,600,1810,2910
300,74337,460,64,24,7,1,"L27",2,5255,453,1800,1850,2930
300,82910,1667,1672,24,27,2,"L66",2,3464,37,0,210,1530
300,82910,406,183,27,23,3,"L5",1,2582,37,1530,2000,2930
300,90169,74,2,26,7,1,"L11",1,8638,212,0,910,2940
300,90250,77,2,26,7,1,"L11",1,7514,212,1200,1250,2940
300,5780,1,228,1,22,1,"L16",1,7340,61,600,900,2940
300,19284,3,228,7,22,1,"L16",1,6667,372,600,1140,2940
300,2659,1,10,1,11,1,"L1",1,4701,389,1200,1200,2950
300,60732,56,66,21,7,1,"L10",2,9118,576,1200,1220,2960
300,28652,1675,1682,8,5,1,"L7",1,6331,0,0,610,2960
300,418,1678,1682,1,5,1,"L7",1,3038,70,1200,1820,2960
300,23396,1342,66,5,7,2,"L4",2,4276,98,600,760,1930
300,23396,18,948,6,6,3,"L3",1,2607,87,1930,2290,2980
360,95282,328,377,26,26,1,"L21",1,1835,261,1800,2450,3000
360,48983,257,36,11,12,1,"L30",1,7795,0,1200,2050,3000
360,18145,2,313,7,10,1,"L4",1,3215,251,1200,2050,3000
360,18739,3,1658,7,27,1,"L66",1,6546,1066,600,1050,3010
360,99062,212,60,27,12,2,"L14",2,2437,9,0,680,1310
360,99062,39,184,12,23,3,"L5",1,3773,23,1310,1650,3020
360,95932,306,76,26,26,1,"L18",1,1145,50,2400,2710,3030
360,22679,507,90,4,20,2,"L33",1,4785,79,0,140,860
360,22679,90,102,20,25,3,"L11",2,4060,0,860,1730,3040
360,95220,326,330,26,26,2,"L21",1,1620,86,0,450,880
360,95220,97,102,26,25,3,"L11",2,1592,85,880,2410,3040
360,95154,328,330,26,26,2,"L21",1,1187,54,600,620,880
360,95154,97,102,26,25,3,"L11",2,1592,85,880,2410,3040
360,87902,98,102,25,25,1,"L11",2,1295,31,600,2540,3040
360,95184,301,303,25,26,2,"L18",1,1649,181,600,1190,1490
360,95184,98,102,25,25,3,"L11",2,1295,95,1490,2540,3040
360,95373,379,303,26,26,1,"L20",2,1542,435,2400,2830,3050
360,62745,1655,987,21,11,1,"L6",2,5885,0,1200,1910,3050
360,47742,27,32,6,7,1,"L1",2,3296,572,600,1920,3060
360,66384,44,403,21,27,1,"L21",2,4766,786,1200,2290,3060
360,66151,44,403,21,27,1,"L21",2,4766,684,1800,2290,3060
360,78723,766,461,23,27,2,"L5",2,3521,117,0,150,1400
360,78723,401,403,27,27,3,"L21",2,3615,416,1400,2660,3060
360,68355,254,991,22,11,2,"L30",1,8358,129,600,1660,2880
360,68355,63,65,12,7,3,"L27",2,1747,129,2880,2930,3060
360,51274,83,3,13,7,1,"L12",2,3476,366,0,2020,3070
360,53532,263,268,16,16,1,"L26",1,14215,74,2400,2420,3070
360,48860,991,224,11,11,1,"L30",2,7062,339,1200,2370,3090
360,48946,990,224,11,11,1,"L30",2,1813,154,1200,2820,3090
360,96600,213,1,27,1,1,"L14",2,7206,340,0,840,3100
360,96401,214,1,27,1,1,"L14",2,6511,536,0,1070,3100
360,51072,62,1,12,1,1,"L14",2,4726,16,600,1650,3100
360,50231,990,991,11,11,2,"L30",1,5646,350,600,700,1190
360,50231,36,410,12,24,3,"L22",1,4829,130,1190,2150,3100
360,50217,951,991,11,11,2,"L30",1,3234,345,600,940,1190
360,50217,36,1660,12,24,3,"L66",1,5625,0,1190,1270,3110
360,90140,73,3,26,7,1,"L11",1,9393,372,0,800,3120
360,90276,307,76,26,26,2,"L20",2,869,0,600,790,1020
360,90276,77,3,26,7,3,"L11",1,8061,396,1020,1120,3120
360,90060,77,3,26,7,1,"L11",1,8061,396,600,1250,3120
360,98421,394,56,27,21,2,"L21",1,5326,139,1800,1900,2400
360,98421,42,44,21,21,3,"L21",2,3871,572,2400,2990,3130
360,62970,57,63,21,12,2,"L10",2,4038,129,0,1220,2340
360,62970,991,224,11,11,3,"L30",2,7062,468,2340,2350,3130
360,6997,1,185,1,23,1,"L5",1,9447,340,0,0,3130
360,26380,35,185,7,23,1,"L5",1,6108,201,600,1010,3130
360,55314,219,66,18,7,2,"L15",2,8118,139,0,0,2180
360,55314,18,949,6,11,3,"L3",1,5439,224,2180,2290,3150
360,26608,1675,1677,8,1,1,"L7",1,3293,99,1200,2160,3160
360,47988,27,30,6,7,1,"L1",2,2071,359,2400,2450,3170
360,45148,1345,66,5,7,2,"L4",2,3160,220,0,1240,1930
360,45148,18,223,6,11,3,"L16",1,3240,87,1930,2350,3170
360,53019,294,297,16,6,1,"L17",2,2358,0,0,2560,3200
360,9825,294,297,16,6,1,"L17",2,2358,487,600,2560,3200
360,9857,294,297,16,6,1,"L17",2,2358,702,1200,2560,3200
360,76038,53,63,23,12,1,"L10",2,8902,464,1200,1490,3210
360,28391,368,375,8,4,1,"L20",1,5105,301,1800,2070,3210
360,677,1,16,1,6,1,"L1",1,7430,340,600,600,3220
360,50246,951,991,11,11,2,"L30",1,3234,484,0,940,1190
360,50246,36,411,12,24,3,"L22",1,5057,165,1190,2150,3220
360,64349,55,58,21,21,2,"L10",2,4329,330,0,1810,2270
360,64349,407,411,27,24,3,"L22",1,1889,212,2270,2730,3220
360,88815,74,2,26,7,1,"L11",1,8638,256,1200,1270,3230
360,88664,73,2,26,7,1,"L11",1,8846,483,1200,1270,3230
360,9802,355,362,2,3,2,"L2",2,2175,93,600,810,2150
360,9802,1,35,1,7,3,"L14",1,3689,160,2150,2160,3230
360,9931,356,362,2,3,2,"L2",2,2100,93,600,890,2150
360,9931,1,35,1,7,3,"L14",1,3689,201,2150,2160,3230
360,7154,1,1661,1,24,1,"L66",1,9634,0,0,0,3240
360,99254,40,1661,27,24,1,"L66",1,3474,159,600,2060,3240
360,64621,399,42,21,21,2,"L21",2,3471,164,1800,1800,2000
360,64621,1658,1661,27,24,3,"L66",1,2809,164,2000,2230,3240
360,94902,327,395,26,27,2,"L21",1,6382,41,0,540,1900
360,94902,194,1661,27,24,3,"L66",1,1222,41,1900,2870,3240
360,99251,401,402,27,27,2,"L21",2,1430,61,0,720,870
360,99251,194,1661,27,24,3,"L66",1,1222,61,870,2870,3240
360,18199,2,12,7,10,1,"L1",1,5417,212,1200,1350,3250
360,99176,409,412,27,24,1,"L43",1,1851,573,2400,3000,3270
360,75900,52,988,23,6,1,"L6",2,7881,841,1200,1310,3270
360,26294,180,468,7,22,1,"L23",1,8226,0,1800,1800,3280
360,48920,951,226,11,11,1,"L30",2,5180,0,1200,2600,3280
360,43605,25,1,10,1,1,"L1",2,4369,100,0,1460,3290
360,83006,1669,1672,24,27,2,"L66",2,2853,37,600,640,1530
360,83006,406,412,27,24,3,"L22",1,3049,429,1530,2730,3300
360,23322,1342,32,5,7,1,"L4",2,5501,191,1200,1670,3300
360,19998,32,101,7,25,1,"L11",2,10176,216,600,890,3310
360,95210,98,101,25,25,1,"L11",2,1295,241,3000,3000,3310
360,30198,388,1342,8,5,1,"L9",2,7570,497,0,410,3320
360,99174,409,187,27,23,1,"L5",1,2335,213,1800,2430,3350
360,82929,411,187,24,23,1,"L5",1,1536,610,2400,2710,3350
360,714,2,33,7,7,1,"L17",1,1547,670,3000,3000,3360
360,54780,289,290,16,16,1,"L17",2,11595,62,2400,3060,3380
360,26701,364,376,8,1,1,"L20",1,8423,0,1200,1470,3380
360,82659,1666,59,24,27,2,"L66",2,4738,48,0,0,1670
360,82659,40,49,27,22,3,"L10",1,8041,48,1670,1930,3390
360,76852,45,49,23,22,1,"L10",1,3563,395,2400,2650,3390
360,51257,61,66,12,7,1,"L14",2,3944,141,2400,2480,3390
360,429,1,1330,1,5,1,"L4",1,4616,45,1800,1920,3390
360,7483,1,1662,1,24,1,"L66",1,9924,45,0,0,3390
360,28879,369,1344,8,5,1,"L7",1,8624,344,0,190,3400
360,88780,307,79,26,20,2,"L20",2,2032,0,600,790,1340
360,88780,79,2,20,7,3,"L12",2,6742,301,1340,1420,3410
360,49689,951,227,11,22,1,"L30",2,5180,192,1800,2600,3410
360,63902,1654,58,21,21,1,"L9",1,2603,0,2400,2450,3410
360,27327,370,2,8,7,1,"L6",1,5371,587,0,1320,3420
360,28359,370,2,8,7,1,"L6",1,5371,518,1200,1320,3420
360,97281,213,66,27,7,2,"L14",2,5981,70,600,840,2460
360,97281,18,19,6,6,3,"L1",2,1037,251,2460,3150,3430
360,90716,76,18,26,6,1,"L11",1,8900,773,0,1120,3430
360,27257,369,1678,8,1,1,"L7",1,4775,414,600,1710,3430
360,95475,97,102,26,25,1,"L11",2,1592,46,3000,3000,3440
360,64693,44,401,21,27,1,"L21",2,1824,838,2400,3130,3450
360,4054,1,44,1,21,1,"L10",1,10638,902,600,900,3460
360,26287,34,44,7,21,1,"L10",1,7800,238,1200,1810,3460
360,88007,302,306,25,26,1,"L20",2,2390,10,2400,2940,3460
360,98988,209,60,27,12,2,"L14",2,3160,77,0,380,1310
360,98988,39,741,12,23,3,"L5",1,5249,100,1310,1650,3460
360,83002,411,741,24,23,1,"L5",1,2176,368,2400,2710,3460
360,83211,411,741,24,23,1,"L5",1,2176,432,2400,2710,3460
360,28504,364,374,8,4,1,"L6",1,6965,0,600,1180,3460
360,51821,39,185,12,23,1,"L27",1,4003,19,1800,2500,3470
360,68336,250,27,22,6,1,"L16",2,4835,150,1800,2120,3490
360,83959,459,59,24,27,1,"L22",2,3045,454,2400,2910,3490
360,3074,1,951,1,11,1,"L3",1,7768,0,600,1620,3510
360,53033,285,297,16,6,2,"L17",2,18985,143,0,830,3200
360,53033,1508,19,6,6,3,"L441",1,1276,324,3200,3390,3510
360,94867,93,395,26,27,2,"L21",1,7251,135,0,270,1900
360,94867,194,1663,27,24,3,"L66",1,1839,41,1900,2870,3510
360,44371,113,32,10,7,1,"L12",1,9193,216,0,1460,3530
360,63016,1655,988,21,6,2,"L6",2,6402,133,0,850,2340
360,63016,6,226,6,11,3,"L16",1,2998,42,2340,2820,3530
360,3365,380,385,1,15,1,"L20",2,4083,82,1200,2540,3530
360,95685,301,306,25,26,1,"L18",1,2797,117,3000,3010,3550
360,8339,376,92,1,26,1,"L20",1,6785,14,600,2060,3550
360,88429,331,393,25,27,1,"L21",1,3973,561,2400,2850,3550
360,88415,299,302,25,25,2,"L18",1,2057,63,1200,1800,2220
360,88415,331,393,25,27,3,"L21",1,3973,304,2220,2850,3550
360,8082,32,92,7,26,1,"L11",2,7168,259,1800,1990,3560
360,92689,303,309,26,12,1,"L18",1,8433,62,1200,1490,3560
360,47664,221,215,11,1,2,"L15",2,8184,22,0,380,2850
360,47664,1,340,1,3,3,"L2",1,1240,31,2850,2930,3560
360,25889,65,1,7,1,2,"L14",2,3015,102,0,2200,3100
360,25889,338,340,3,3,3,"L2",1,839,108,3100,3230,3560
360,7633,32,98,7,25,1,"L11",2,9261,548,1200,1430,3580
360,77450,52,1654,23,21,2,"L9",1,1479,490,1800,1830,2450
360,77450,44,402,21,27,3,"L21",2,2581,481,2450,3130,3580
360,78721,52,1654,23,21,2,"L9",1,1479,522,1800,1830,2450
360,78721,44,402,21,27,3,"L21",2,2581,433,2450,3130,3580
360,8420,506,90,1,20,2,"L33",1,5384,82,0,1800,2720
360,8420,90,330,20,26,3,"L21",1,3247,92,2720,2760,3590
360,7675,506,90,1,20,2,"L33",1,5384,96,0,1800,2720
360,7675,90,330,20,26,3,"L21",1,3247,227,2720,2760,3590
420,44551,14,180,10,7,1,"L13",2,2297,203,3000,3000,3620
420,85505,302,386,25,8,1,"L20",2,14263,10,0,170,3620
420,53548,282,291,16,16,1,"L17",2,17609,21,1200,1930,3630
420,71660,54,1,21,1,1,"L10",2,11081,143,0,720,3640
420,71300,55,1,21,1,1,"L10",2,10865,578,600,720,3640
420,57549,57,1,21,1,1,"L10",2,7571,0,600,1220,3640
420,70960,51,56,22,21,2,"L10",2,6063,0,600,1040,2010
420,70960,43,379,21,26,3,"L21",2,6768,11,2010,2150,3640
420,77761,157,461,23,27,2,"L5",2,1934,131,0,750,1400
420,77761,401,379,27,26,3,"L21",2,5016,196,1400,2660,3640
420,99313,402,379,27,26,1,"L21",2,4343,106,2400,2830,3640
420,83775,402,379,27,26,1,"L21",2,4343,375,1800,2830,3640
420,83355,1667,209,24,27,2,"L66",2,1734,55,600,980,1620
420,83355,402,379,27,26,3,"L21",2,4343,161,1620,2830,3640
420,99562,403,379,27,26,1,"L21",2,3586,381,1800,3060,3640
420,47182,8,18,10,6,2,"L1",1,4066,16,0,1350,3080
420,47182,619,261,6,2,3,"L26",1,1993,34,3080,3260,3640
420,72584,1652,18,23,6,2,"L9",1,8167,206,600,600,3230
420,72584,619,261,6,2,3,"L26",1,1993,238,3230,3260,3640
420,47303,63,66,12,7,2,"L14",2,2707,328,600,1880,2460
420,47303,619,261,6,2,3,"L26",1,1993,166,2460,3260,3640
420,58599,55,66,21,7,2,"L10",2,9640,372,0,830,2960
420,58599,619,261,6,2,3,"L26",1,1993,179,2960,3260,3640
420,59380,57,66,21,7,2,"L10",2,6346,70,0,1220,2960
420,59380,619,261,6,2,3,"L26",1,1993,166,2960,3260,3640
420,59588,1654,66,21,7,2,"L6",2,9187,103,0,710,3220
420,59588,619,261,6,2,3,"L26",1,1993,179,3220,3260,3640
420,25388,180,187,7,23,1,"L27",1,8062,594,1800,1800,3640
420,82997,1666,1672,24,27,2,"L66",2,3924,37,600,780,2310
420,82997,406,187,27,23,3,"L27",1,3533,434,2310,2740,3640
420,26407,34,1664,7,24,1,"L66",1,7589,116,600,960,3640
420,64412,44,402,21,27,2,"L21",2,2581,446,0,420,870
420,64412,194,1664,27,24,3,"L66",1,2015,61,870,2870,3640
420,77261,400,402,21,27,2,"L21",2,2083,459,0,550,870
420,77261,194,1664,27,24,3,"L66",1,2015,61,870,2870,3640
420,96153,329,394,26,27,1,"L21",1,5024,152,2400,2570,3650
420,87634,67,72,25,26,2,"L11",1,1894,77,600,650,1090
420,87634,330,394,26,27,3,"L21",1,4819,443,1090,2660,3650
420,1997,1,1332,1,9,1,"L4",1,5169,92,1200,1920,3650
420,17940,2,1332,7,9,1,"L4",1,4912,234,1800,2050,3650
420,64380,406,410,27,24,1,"L5",1,1997,147,3000,3150,3660
420,73430,158,32,23,7,1,"L5",2,9220,394,600,890,3660
420,6983,1,742,1,23,1,"L5",1,10967,45,0,0,3670
420,77086,410,742,24,23,1,"L5",1,2992,352,1800,2540,3670
420,8594,376,93,1,26,1,"L20",1,7001,108,1200,2060,3690
420,56971,90,99,20,25,1,"L11",2,3438,0,2400,2790,3700
420,19156,3,227,7,22,1,"L16",1,6209,396,1800,2030,3700
420,63973,1656,988,21,6,2,"L6",2,5882,133,600,1060,2340
420,63973,6,227,6,22,3,"L16",1,3453,101,2340,2820,3700
420,43631,21,1,10,1,1,"L1",2,7623,105,600,1170,3720
420,43884,26,1,11,1,1,"L1",2,4069,16,1800,2150,3720
420,2364,1,11,1,10,1,"L1",1,5114,0,1800,1800,3750
420,77569,157,464,23,27,2,"L5",2,2889,54,600,750,1830
420,77569,1658,1665,27,24,3,"L66",1,3602,54,1830,2230,3750
420,77458,157,464,23,27,2,"L5",2,2889,68,0,750,1830
420,77458,1658,1665,27,24,3,"L66",1,3602,98,1830,2230,3750
420,64342,399,42,21,21,2,"L21",2,3471,467,1800,1800,2000
420,64342,1658,1665,27,24,3,"L66",1,3602,164,2000,2230,3750
420,1013,380,387,1,8,1,"L20",2,4819,320,1200,2540,3760
420,96076,303,76,26,26,1,"L20",2,2311,263,3000,3050,3770
420,85200,303,314,26,10,1,"L18",1,12474,276,600,660,3780
420,39070,1338,1,9,1,2,"L4",2,6696,0,0,190,2580
420,39070,1,341,1,3,3,"L2",1,1680,0,2580,2930,3780
420,44348,321,1,10,1,2,"L4",2,3555,152,1200,1540,2580
420,44348,338,341,3,3,3,"L2",1,1279,108,2580,2930,3780
420,90187,72,2,26,7,2,"L11",1,9126,378,0,620,2940
420,90187,338,341,3,3,3,"L2",1,1279,106,2940,3230,3780
420,5021,1,46,1,23,1,"L10",1,13525,664,600,900,3800
420,19675,2,46,7,23,1,"L10",1,13268,418,600,1030,3800
420,90166,76,2,26,7,1,"L11",1,7769,503,1800,2030,3820
420,71087,254,991,22,11,2,"L30",1,8358,189,1800,1800,2860
420,71087,36,1658,12,27,3,"L66",1,3531,108,2860,2870,3820
420,51912,38,1660,12,24,1,"L66",1,4375,0,1800,2420,3830
420,71164,254,991,22,11,2,"L30",1,8358,130,600,1660,2880
420,71164,36,40,12,27,3,"L10",1,2868,326,2880,3070,3840
420,55790,242,31,19,7,1,"L16",2,11812,312,0,110,3840
420,52934,291,32,16,7,1,"L17",2,5742,405,1800,2070,3840
420,52642,294,32,16,7,1,"L17",2,3768,649,600,2560,3840
420,7562,1,411,1,24,1,"L5",1,8769,64,600,1080,3840
420,7148,1,411,1,24,1,"L5",1,8769,109,600,1080,3840
420,6758,1,411,1,24,1,"L5",1,8769,911,600,1080,3840
420,46625,985,32,11,7,1,"L6",2,8564,259,600,1710,3840
420,96163,330,395,26,27,1,"L21",1,5488,409,2400,2660,3850
420,66013,42,303,21,26,1,"L21",2,10782,379,600,2000,3860
420,78500,156,54,23,21,2,"L13",1,1938,117,600,670,1580
420,78500,44,303,21,26,3,"L21",2,7409,294,1580,2290,3860
420,77921,400,303,21,26,1,"L21",2,6911,822,1800,2490,3860
420,99526,403,303,27,26,1,"L21",2,4828,551,1200,3060,3860
420,57483,464,1,27,1,1,"L5",2,6754,342,1800,1830,3860
420,51854,39,742,12,23,1,"L27",1,5523,0,1800,2500,3870
420,98152,461,63,27,12,1,"L5",2,4420,396,2400,2550,3870
420,22879,375,326,4,26,1,"L20",1,8181,32,1200,1870,3880
420,95270,93,101,26,25,1,"L11",2,3008,357,3000,3090,3890
420,89823,76,18,26,6,2,"L18",1,8792,16,1200,1240,3240
420,89823,619,262,6,16,3,"L26",1,2395,449,3240,3260,3900
420,72794,766,180,23,7,2,"L27",2,8827,87,600,1000,3210
420,72794,619,262,6,16,3,"L26",1,2395,469,3210,3260,3900
420,96780,212,66,27,7,2,"L14",2,6381,70,600,680,2460
420,96780,619,262,6,16,3,"L26",1,2395,523,2460,3260,3900
420,62610,43,44,21,21,2,"L21",2,1099,192,0,280,420
420,62610,1654,1328,21,5,3,"L9",1,9205,342,420,760,3910
420,11371,356,362,2,3,2,"L2",2,2100,93,1200,1260,2150
