1005,1852,3150,2012,2505,8160,3210,1092
1853,160,230,1615,415,1605,1032,344
3150,230,620,1332,855,1782,1022,445
2013,1615,1333,565,1447,2515,1262,536
2505,415,855,1448,335,2497,1112,457
8160,1605,1783,2515,2498,1555,2620,1034
3210,1033,1023,1263,1113,2620,1515,587
1092,344,445,536,457,1034,587,498
