id,startstop,ligne,endstop,dir,ridedist
219,1674,L7,168,1,11174
220,1646,L6,188,1,2449
221,983,L3,29,2,3449
222,983,L3,66,2,5424
223,36,L10,42,1,3224
224,42,L21,303,2,7575
225,36,L13,42,2,3224
226,36,L14,194,1,4399
227,402,L21,303,2,4775
228,36,L22,406,1,2850
229,36,L27,406,1,2850
230,36,L43,406,1,2850
231,36,L5,406,1,2850
232,36,L66,1658,1,2975
233,36,L9,41,2,2900
234,63,L10,66,2,1899
235,66,L11,99,2,10550
236,63,L13,18,1,1874
237,63,L14,66,2,1899
238,63,L22,180,2,2174
239,63,L27,180,2,2199
240,63,L43,18,2,1849
241,63,L5,66,2,1874
242,63,L66,66,2,1899
243,63,L9,18,1,1874
244,323,L18,86,2,1550
245,86,L11,99,2,6774
246,323,L18,332,2,8999
247,379,L20,303,2,700
248,379,L21,303,2,675
249,323,L18,90,2,5324
250,102,TX15,70,1,2725
251,310,L18,18,1,1824
252,1,BRT1,3,1,3100
253,26,BRT1,45,2,1300
254,63,TX5,42,1,2974
255,63,TX5,66,2,1825
256,357,L2,361,2,1300
257,3,L3,955,1,6700
258,1669,L66,66,2,7400
259,18,L17,276,1,11850
260,411,L27,741,1,1575
261,52,L9,1692,1,12749
262,411,L5,741,1,1575
263,459,L22,464,2,2025
264,58,L9,1692,1,9775
265,459,L22,180,2,7025
266,180,TX4,353,1,2174
267,180,TX7,353,1,2274
268,459,L27,464,2,2050
269,459,L27,180,2,7050
270,459,L43,464,2,2025
271,459,L43,18,2,6700
272,18,TX4,353,1,2174
273,18,TX7,353,1,2274
274,459,L5,32,2,8150
275,459,L5,464,2,2025
276,459,L5,66,2,6725
277,158,L13,163,1,11650
278,317,L7,1692,2,4299
279,158,L13,58,1,2725
280,158,L13,18,1,7500
281,158,L13,164,1,11975
282,164,TX13,353,2,3000
283,183,L13,188,2,1174
284,31,BRT1,28,2,2074
285,31,BRT1,45,2,6475
286,400,L21,303,2,6100
287,55,L10,66,2,5999
288,55,L13,18,1,5975
289,461,L22,180,2,6200
290,461,L27,180,2,6200
291,461,L43,18,2,5850
292,461,L5,66,2,5874
293,30,BRT1,45,2,5425
294,397,TX5,66,2,5650
295,397,TX8,87,2,4800
296,87,L11,99,2,5975
297,353,L2,1,2,3674
298,1680,L7,1342,1,2199
299,1342,L4,1,2,5325
300,1680,L9,322,2,4425
301,16,L15,215,2,3150
302,1680,L9,321,2,4175
303,19,L1,1,2,7599
304,1680,L9,180,2,4949
305,66,L10,1,2,2249
306,66,L14,1,2,2274
307,66,L16,1,2,2274
308,66,L3,1,2,2275
309,1680,L9,1342,2,2199
310,66,L5,1,2,2275
311,66,L66,1,2,2275
312,24,BRT2,14,1,1900
313,24,BRT4,14,1,1925
314,321,TX1,380,1,2525
315,1680,L9,37,2,7425
316,37,TX8,380,2,4250
317,1692,L7,364,2,2474
318,364,L20,376,1,7549
319,364,L6,376,1,7549
320,39,BRT2,46,2,7650
321,1692,L7,366,2,3775
322,366,TX10,380,2,5325
323,1692,L9,364,1,2474
324,1692,L9,366,1,3774
325,1680,TX4,363,1,2349
326,363,L20,376,1,7724
327,363,L6,376,1,7724
328,1680,TX4,39,1,2374
329,1680,TX4,366,1,3875
330,1680,TX4,17,2,2274
331,17,L15,215,2,2750
332,1680,TX4,18,2,2274
333,18,L1,1,2,8399
334,1680,TX4,321,2,1999
335,321,L4,1,2,3350
336,1680,TX4,180,2,2274
337,1680,TX7,363,1,2374
338,1680,TX7,39,1,2399
339,1680,TX7,17,2,2150
340,1680,TX7,321,2,1875
341,1680,TX7,18,2,2150
342,1680,TX7,180,2,2150
343,1680,TX13,1342,1,1975
344,1680,TX13,363,2,2375
345,1680,TX13,39,2,2400
346,1680,TX13,366,2,3850
347,740,L27,741,1,1300
348,52,L9,1694,1,13774
349,740,L5,741,1,1300
350,770,L27,464,2,2375
351,58,L9,1694,1,10800
352,770,L27,180,2,7375
353,180,TX4,1678,1,3199
