id,startstop,ligne,endstop,dir,ridedist
187,10400,L21,10307,2,7350
188,10135,L12,10003,2,8200
189,10400,L21,10402,2,1324
190,10209,L14,10032,2,7675
191,10209,L66,10032,2,7850
192,10397,L21,10398,1,1925
193,10983,L3,10032,2,6849
194,11657,L6,10032,2,6199
195,10397,L21,10057,1,1250
196,10045,L10,10048,1,1325
197,10051,L6,10032,2,9149
198,10502,L23,10180,2,6524
199,10502,L23,10029,2,4899
200,10065,L9,11328,1,2599
201,10180,TX2,11345,1,1199
202,10180,TX3,11345,1,1250
203,10502,L3,10066,2,8049
204,10502,L3,10982,2,2324
205,11656,L9,11328,1,7424
206,10502,L3,10029,2,6074
207,10018,TX2,11345,1,1199
208,10018,TX3,11345,1,1250
209,11670,L66,10001,2,9325
212,11670,L66,10064,2,5625
213,10029,L6,10381,2,4024
219,11670,L66,10066,2,7050
220,44,BRT2,6231,1,2900
221,44,BRT4,6231,1,2850
222,11670,L66,10032,2,8450
225,10402,L21,10379,2,4100
226,10379,L20,10381,2,9825
227,10402,L21,10307,2,6025
228,11070,L33,10542,2,5875
229,10402,L21,10078,2,7225
230,7012,BRT4,6232,2,5050
231,10402,L21,10077,2,6925
232,10077,TX14,10507,1,4199
233,10077,TX6,10507,2,4650
234,10208,L14,10001,2,8899
237,10208,L14,10064,2,5200
243,10208,L14,10066,2,6625
244,10208,L14,10032,2,8025
247,10395,L21,10398,1,3250
248,11657,L6,10381,2,7499
249,11660,TX11,10301,2,3450
250,10378,L20,10381,2,9900
251,11660,TX11,10078,2,5900
252,10078,L33,10542,2,4900
253,11660,TX11,7011,2,5800
254,11660,TX11,10077,2,5550
255,10053,L10,10058,2,2049
256,11658,L66,11664,1,3399
257,11652,L6,10029,2,5400
258,10034,L66,11664,1,7225
259,11652,L9,10059,1,2774
260,10040,L66,11664,1,3874
261,10154,L13,10058,1,3600
262,10768,L27,10464,2,3425
263,10768,L5,10464,2,3424
264,10376,L20,10090,1,5749
265,10090,TX11,10404,1,3300
266,10376,L6,11646,1,7399
267,10399,L21,10404,2,6450
268,10506,L33,10090,1,4975
269,10001,L10,10042,1,7025
270,10042,L21,10404,2,5775
271,10001,L14,10194,1,8200
272,10402,L21,10404,2,2975
273,10001,L14,10193,1,7950
274,10193,TX11,10404,2,3200
275,10001,L3,10953,1,6750
276,10001,L5,10406,1,6650
277,10001,L5,10409,1,7850
278,10396,TX11,10404,2,3300
279,10001,L66,11658,1,6775
280,10001,L66,10193,1,8125
281,6231,BRT4,32,1,4474
282,32,TX11,10404,1,3300
283,10376,TX6,32,1,4899
284,10376,TX8,10042,1,6500
285,10376,TX8,10396,1,7650
286,10988,L6,10386,2,8399
287,10007,L1,10018,1,4874
288,44,BRT2,1711,1,6475
289,10027,L1,10001,2,3474
290,10380,L20,10386,2,4149
291,10027,L1,10030,2,1700
292,9391,BRT2,1711,1,5550
293,10027,L1,10032,2,2599
294,10032,TX10,10370,1,4349
295,10027,L16,10001,2,4199
296,10027,L16,10066,2,1924
297,10027,L16,10032,2,3324
298,10027,L23,10180,2,2224
299,10988,L3,10001,2,4974
300,10988,L3,10066,2,2699
301,10988,L3,10032,2,4124
302,11657,L6,10387,2,11549
303,11656,L9,11699,1,16324
304,10982,L3,10001,2,7999
305,10380,L20,10387,2,4600
