ind,trip,type
19293,417,2
19293,418,3
19293,419,2
19293,2,3
19293,420,2
19293,421,2
19293,422,2
19293,423,2
19293,424,2
19293,425,2
19293,426,2
19293,427,3
19293,428,2
19293,429,2
19293,430,2
19293,431,2
40145,432,2
40145,433,3
40145,434,2
40145,435,3
40145,436,2
40145,437,3
40145,438,2
40145,439,3
40145,440,3
40145,441,3
40145,442,2
40145,443,3
40145,444,2
40145,445,3
40145,446,2
40145,447,3
40145,448,2
40145,449,3
40145,450,2
40145,451,2
40145,452,2
40145,453,3
40145,454,2
40145,455,3
40145,456,2
40145,457,3
40145,458,2
40145,459,3
92393,460,1
92393,389,2
92393,461,3
92393,462,3
92393,463,3
92393,464,3
92393,465,3
92393,466,2
92393,467,3
92393,468,2
92393,469,3
92393,470,2
92393,471,3
92393,472,2
92393,473,2
92393,474,3
92393,475,3
92393,476,3
92393,380,2
92393,477,3
92393,478,3
92393,479,2
92393,480,3
92393,481,2
92393,482,2
92393,228,2
92393,483,3
34257,484,1
34257,485,1
34257,486,2
34257,487,3
34257,488,2
34257,489,3
70359,490,2
70359,491,3
70359,492,2
70359,493,2
70359,494,3
70359,495,2
70359,496,3
70359,497,3
70359,498,2
70359,499,2
70359,500,3
70359,501,2
70359,502,3
70359,503,3
70359,504,2
70359,505,2
70359,506,2
70359,507,2
70359,508,2
70359,509,3
70359,510,2
70359,511,3
70359,512,2
70359,513,2
70359,514,3
70359,515,2
70359,516,2
70359,517,2
31395,486,2
31395,5184,3
31395,696,2
31395,1874,2
31395,5185,3
31395,5186,2
31395,5187,3
31395,708,2
31395,5188,3
31395,5189,2
31395,5190,3
31395,5191,2
21844,518,2
21844,519,3
21844,520,3
21844,521,2
21844,522,2
21844,523,3
21844,524,2
21844,525,2
21844,526,2
21844,527,2
21844,528,2
21844,529,2
77814,530,2
77814,531,3
77814,532,2
77814,533,3
77814,534,3
96869,535,2
96869,536,3
96869,537,2
96869,538,3
96869,539,2
96869,540,2
96869,541,2
96869,542,2
96869,543,2
96869,544,3
59194,547,2
59194,226,3
59194,549,2
59194,228,3
59194,550,2
59194,230,3
59194,551,2
59194,552,3
59194,553,3
59194,557,2
59194,213,3
59194,563,2
59194,220,3
59194,221,3
59194,567,2
59194,568,2
59194,569,2
59194,248,3
59194,570,2
59194,571,3
59194,572,2
18253,573,2
18253,574,3
18253,575,2
18253,576,3
13867,15,2
13867,2,3
13867,3,3
13867,1,3
13867,20,2
13867,23,2
13867,25,2
13867,27,2
13867,577,2
13867,578,2
13867,579,2
13867,580,2
13867,581,2
13867,582,2
43386,583,1
43386,584,2
43386,446,3
43386,585,2
43386,586,3
43386,587,2
43386,588,3
43386,589,3
43386,590,3
43386,591,3
43386,592,2
43386,593,3
43386,594,3
43386,595,3
43386,596,3
43386,597,2
43386,598,3
43386,599,3
43386,600,3
43386,601,3
43386,602,3
43386,603,3
43386,604,2
43386,605,3
43386,606,2
43386,607,3
43386,608,2
43386,609,2
43386,610,3
43386,611,2
43386,612,3
43386,613,2
43386,614,2
43386,615,3
43386,616,3
43386,617,2
43386,618,3
43386,619,3
43386,620,3
43386,621,3
43386,622,3
43386,623,2
43386,624,3
43386,625,2
43386,626,2
43386,627,2
43386,628,2
43386,629,2
43386,630,3
43386,631,2
43386,632,3
43386,633,2
43386,634,3
43386,635,2
43386,636,2
43386,637,3
43386,638,2
43386,639,3
43386,332,3
43386,357,3
43386,640,2
43386,641,3
43386,642,2
43386,643,3
43386,644,2
43386,645,3
43386,646,2
43386,647,3
43386,648,2
43386,649,2
43386,650,3
43386,651,3
43386,652,2
43386,653,2
43386,654,2
43386,655,2
43386,657,2
43386,658,3
43386,659,2
43386,660,2
65919,661,2
65919,662,3
65919,663,2
65919,664,3
65919,665,3
65919,666,2
65919,667,2
65919,668,3
65919,669,3
65919,670,2
65919,671,3
65919,672,2
15586,15,2
15586,673,3
15586,674,3
15586,675,3
15586,676,3
15586,677,3
15586,478,3
15586,678,3
15586,20,2
15586,679,3
15586,680,2
15586,682,2
15586,683,3
15586,23,2
15586,25,2
15586,27,2
15586,577,2
15586,578,2
15586,687,2
15586,688,3
15586,579,2
15586,580,2
15586,690,2
15586,581,2
15586,582,2
15586,692,2
15586,694,2
15586,695,3
26562,486,1
26562,696,1
26562,697,1
26562,698,2
26562,699,3
26562,700,2
26562,701,3
26562,703,2
26562,704,3
26562,705,2
26562,706,2
26562,612,3
26562,707,2
26562,607,3
26562,708,2
26562,588,3
26562,589,3
26562,590,3
26562,709,2
26562,591,3
26562,710,2
26562,594,3
26562,595,3
26562,601,3
26562,602,3
26562,711,2
26562,712,3
26562,713,2
26562,714,3
26562,716,2
26562,717,3
26562,720,2
26562,721,3
26562,725,3
26562,727,2
26562,728,3
26562,729,2
26562,730,3
27973,731,1
27973,359,1
27973,735,2
27973,736,3
27973,737,3
27973,745,2
27973,746,3
27973,732,2
27973,747,3
27973,748,2
27973,749,3
27973,750,2
27973,751,3
27973,752,2
27973,753,3
27973,754,2
27973,755,3
27973,756,3
27973,757,2
27973,758,3
27973,759,2
27973,760,3
27973,761,2
27973,762,3
27973,763,2
27973,764,3
27973,765,3
27973,766,3
27973,767,3
27973,768,2
27973,769,3
27973,770,2
27973,771,3
27973,772,3
27973,773,3
27973,774,3
27973,775,3
27973,776,3
27973,777,2
27973,778,2
27973,779,3
27973,780,2
27973,781,2
27973,782,3
27973,783,2
27973,784,3
27973,785,2
27973,786,2
27973,787,2
27973,788,2
27973,789,2
27973,790,2
27973,791,2
27973,792,2
27973,793,3
27973,794,2
27973,795,2
27973,796,2
15087,797,2
15087,798,3
15087,799,2
15087,800,3
15087,801,3
15087,802,2
15087,344,3
15087,804,2
55172,805,2
55172,806,3
55172,807,3
55172,808,3
55172,809,3
55172,810,3
55172,811,3
41020,812,2
41020,813,3
54691,814,1
54691,815,2
54691,645,3
54691,816,2
54691,647,3
54691,588,3
54691,589,3
54691,591,3
54691,817,2
54691,634,3
54691,594,3
54691,595,3
54691,601,3
54691,602,3
54691,818,2
54691,819,3
9495,820,1
9495,821,1
9495,822,1
9495,829,2
9495,830,3
9495,836,2
9495,311,3
9495,839,2
9495,840,2
9495,841,3
6877,842,1
6877,845,2
6877,846,3
6877,847,3
6877,850,2
6877,851,2
6877,852,3
6877,853,3
6877,854,2
6877,855,3
6877,856,2
6877,860,2
6877,861,2
6877,862,2
6877,863,2
6877,864,3
6877,865,3
6877,866,2
6877,867,2
6877,868,2
6877,869,2
6877,870,2
6877,871,2
6877,872,3
6877,873,3
6562,874,1
6562,875,2
6562,489,3
6562,876,2
6562,344,3
6562,877,2
6562,878,2
6562,30,3
6562,879,2
6562,18,3
6562,16,3
6562,880,2
6562,36,3
6562,881,2
6562,882,3
6562,883,3
6562,884,2
6562,885,2
6562,886,2
6562,887,2
6562,888,2
6562,49,3
6562,889,2
87118,890,1
87118,891,1
87118,892,1
87118,893,1
87118,894,2
87118,895,3
87118,896,2
87118,897,3
87118,898,3
87118,899,2
87118,900,3
3247,902,1
3247,903,1
3247,904,2
3247,905,3
3247,906,2
3247,907,3
3247,908,2
3247,909,2
3247,910,3
3247,911,2
3247,912,3
3247,913,2
3247,105,3
3247,914,2
3247,915,3
3247,916,2
3247,917,2
3247,918,2
3247,919,3
29273,928,2
29273,930,3
29273,932,2
29273,933,3
29273,934,2
29273,937,2
29273,938,3
29273,939,2
29273,940,3
29273,941,2
29273,942,3
29273,943,3
29273,944,2
29273,358,2
29273,957,3
29273,965,2
29273,972,2
44830,977,2
44830,978,3
44830,979,2
44830,980,3
44830,751,2
44830,981,3
44830,982,3
44830,983,3
44830,984,2
44830,985,2
44830,986,3
44830,987,2
44830,988,3
44830,989,2
44830,990,2
44830,991,2
44830,992,2
44830,993,2
44830,994,3
44830,995,2
44830,996,2
44830,997,2
44830,998,3
44830,999,2
44830,1000,3
44830,1001,2
44830,1002,2
86561,1003,1
86561,1004,1
86561,1005,2
86561,1006,3
86561,1007,3
86561,1008,2
86561,1009,3
86561,1010,3
17085,1011,1
17085,1012,2
17085,1013,3
17085,840,2
17085,1014,3
17085,1015,3
17085,1016,3
17085,1017,2
17085,1018,3
17085,1019,3
17085,1020,2
17085,1021,3
17085,1022,3
17085,1023,2
17085,1024,3
17085,1025,3
17085,1026,3
17085,1027,3
17085,1028,2
17085,1029,3
17085,369,3
17085,352,3
17085,1030,2
17085,1031,3
17085,1032,2
17085,1033,2
17085,1034,2
17085,1035,2
17085,1036,2
17085,1037,3
87139,1038,2
87139,460,3
87139,1039,2
87139,1040,3
87139,1041,3
87139,1042,3
87139,1043,2
87139,1044,3
87139,478,3
87139,1045,2
87139,1046,3
87139,1047,2
87139,1048,3
87139,1049,2
87139,1050,3
87139,1051,2
87139,1052,2
87139,277,3
87139,1053,2
87139,1054,2
87139,1055,3
87139,1056,2
87139,1057,3
87139,1058,2
87139,1059,2
87139,1060,2
87139,1061,3
87139,1062,2
87139,1063,2
87139,1064,2
87139,1065,2
87139,1066,3
8702,1067,1
8702,1068,1
8702,851,2
8702,1069,3
8702,856,2
8702,1070,3
8702,269,2
8702,1071,3
8702,860,2
8702,271,2
8702,1072,3
8702,273,2
8702,1073,3
8702,861,2
8702,862,2
8702,275,2
8702,1074,3
8702,866,2
8702,1075,2
8702,276,2
8702,277,2
8702,1076,3
8702,867,2
8702,279,2
8702,280,2
8702,850,2
8702,1077,2
8702,1078,3
8702,1079,2
8702,1080,3
8702,1081,3
8702,1082,3
8702,1083,2
8702,1084,2
8702,1085,2
8702,1086,2
8702,1087,2
8702,1088,2
8702,1089,3
8702,268,2
8702,1090,2
8702,1091,2
8702,1092,3
8702,1093,3
8702,868,2
8702,869,2
8702,1094,2
8702,1095,2
8702,1096,2
8702,1097,2
8702,1098,3
8702,1099,2
8702,1100,2
2462,1101,1
2462,1102,1
2462,845,2
2462,1103,3
2462,1104,3
2462,1105,3
2462,1106,3
2462,856,2
2462,860,2
2462,861,2
2462,862,2
2462,866,2
2462,1075,2
2462,867,2
2462,868,2
2462,869,2
2462,1107,2
2462,1108,2
68262,1109,2
68262,1110,3
68262,1111,2
68262,1112,3
68262,1113,3
68262,1114,2
68262,1115,3
68262,1116,3
68262,1117,3
68262,1118,3
68262,1119,3
68262,1120,2
68262,1121,2
68262,1122,2
68262,1123,2
68262,1124,2
68262,1125,3
68262,1126,2
68262,1127,2
68262,1128,2
72096,1129,1
72096,1130,2
72096,1131,3
72096,53,2
72096,1132,3
72096,1133,3
72096,1134,3
72096,1135,3
72096,1136,3
72096,1137,3
72096,1138,3
72096,1139,3
72096,64,2
72096,1140,3
72096,62,2
72096,1141,2
72096,1142,3
72096,77,2
72096,1143,3
72096,79,2
72096,1144,3
72096,197,2
72096,1145,3
72096,74,2
72096,1146,2
72096,1147,3
72096,1148,2
72096,1149,3
72096,1150,3
72096,81,2
72096,1151,3
72096,1152,3
72096,1153,3
72096,1154,2
72096,85,2
57267,1155,1
57267,1166,2
57267,1167,3
57267,1168,2
57267,289,3
57267,1169,2
57267,1170,3
57267,295,3
57267,1171,2
57267,1172,3
57267,1173,2
57267,304,3
57267,1174,3
57267,1175,3
57267,1176,3
57267,601,3
57267,602,3
57267,1158,2
57267,1177,3
57267,728,3
57267,1178,3
57267,1185,2
57267,332,3
57267,338,3
57267,1186,2
57267,1187,2
57267,1188,3
57267,1189,2
57267,1190,3
57267,1191,3
57267,1192,2
57267,632,3
57267,1193,2
57267,1194,3
57267,1195,3
57267,357,3
57267,1196,3
57267,1197,2
57267,1198,3
57267,1199,2
57267,1200,3
57267,1201,2
57267,1202,3
57267,1203,2
57267,1204,3
57267,1205,2
57267,1206,3
57267,1207,2
57267,482,3
57267,1208,2
57267,1209,3
57267,1210,2
57267,1211,3
57267,1212,3
57267,1213,2
57267,1214,3
57267,1215,2
57267,1216,3
57267,1217,3
18557,1218,1
18557,1219,1
18557,417,2
18557,1220,3
18557,420,2
18557,1221,3
18557,421,2
18557,422,2
18557,423,2
18557,1222,2
18557,424,2
18557,1223,2
18557,425,2
18557,428,2
18557,430,2
18557,1228,2
18557,1229,3
18557,1230,2
18557,1231,3
18557,1232,2
18557,1233,2
18557,1234,2
18557,1235,2
16386,799,2
16386,128,3
16386,1236,2
16386,1237,3
16386,1238,3
16386,1239,3
16386,1240,3
16386,802,2
16386,1241,3
16386,804,2
79866,530,2
79866,1242,3
79866,1243,2
79866,305,3
79866,1244,2
79866,1245,3
90196,1246,2
90196,1247,3
90196,1248,2
90196,1249,3
90196,1250,2
90196,1251,3
55107,3372,1
55107,3373,2
55107,3374,3
55107,2461,2
55107,3375,3
55107,3376,2
55107,3377,3
55107,3378,2
55107,3379,3
55107,1005,2
55107,3380,3
55107,3381,3
55107,3382,2
55107,3383,3
55107,3384,3
55107,3385,2
55107,3386,2
55107,3387,3
55107,3388,2
81163,1252,2
81163,1253,3
81163,1254,3
81163,1255,2
81163,1256,3
77828,1257,2
77828,494,3
77828,209,2
77828,500,3
77828,219,2
77828,502,3
77828,503,3
77828,1258,2
77828,234,2
77828,243,2
77828,1259,2
77828,511,3
32081,1260,2
32081,1261,3
32081,932,2
32081,1262,3
32081,1263,3
32081,1264,3
32081,1265,3
32081,752,2
32081,1266,3
32081,1267,3
32081,1268,3
32081,1269,3
32081,1270,3
32081,768,2
32081,357,2
32081,358,2
32081,781,2
32081,789,2
32081,794,2
88288,1271,2
88288,1272,3
88288,1273,2
88288,1274,3
88288,1275,2
88288,1276,3
88288,1277,3
88288,1278,3
88288,1279,2
88288,1280,3
88288,1281,2
88288,1282,2
88288,1283,3
88288,1284,2
88288,1285,2
88288,1286,2
88288,1287,3
88288,1288,2
88288,1289,3
88288,1290,2
88288,1291,3
88288,1292,2
88288,1293,3
88288,1294,2
88288,1295,3
88288,1296,3
88288,1297,2
88288,1298,3
88288,1299,2
88288,1300,2
88288,1301,3
88288,1302,2
88288,1303,2
88288,1214,2
88288,1304,2
88288,1305,3
88288,1306,3
24200,1307,1
24200,1308,1
24200,1309,2
24200,1310,3
24200,1311,2
24200,634,2
24200,1068,3
24200,1312,2
24200,1071,3
58428,1313,1
58428,1314,2
58428,1145,3
58428,1315,2
58428,1143,3
58428,1316,2
58428,1144,3
58428,1317,2
58428,1132,3
58428,1133,3
58428,1134,3
58428,1135,3
58428,1136,3
58428,1318,3
58428,1319,2
58428,1320,3
58428,1321,3
58428,1322,2
58428,1323,3
58428,1324,3
52443,1325,1
25303,1326,1
25303,1327,1
25303,607,2
25303,1328,3
25303,1329,3
25303,1330,2
25303,1331,3
25303,612,2
25303,1332,2
25303,1333,3
25303,1334,3
25303,1335,3
25303,1336,2
25303,1337,3
25303,1338,2
25303,1339,3
25303,1340,2
25303,1341,3
25303,1342,2
25303,1343,2
80355,1344,2
80355,1345,3
80355,1346,2
80355,1347,3
80355,1348,2
80355,1349,2
80355,1350,2
80355,1351,2
55860,1352,2
55860,1353,3
55860,863,3
55860,1354,2
90258,1355,1
90258,1356,1
90258,1357,2
90258,1358,3
90258,1359,2
90258,1360,3
90258,1361,2
90258,1362,3
90258,1363,3
90258,1364,3
90258,1365,2
90258,1366,3
90258,1367,3
90258,1302,2
90258,1299,2
90258,1300,2
90258,449,3
90258,1368,2
90258,1369,3
90258,1370,3
90258,1371,2
90258,1372,2
90258,440,3
90258,1373,2
90258,1374,3
90258,252,2
90258,1375,3
90258,1376,3
90258,1377,3
90258,1378,2
90258,1379,3
90258,1380,2
90258,1381,3
90258,1304,2
90258,230,2
90258,1382,3
90258,1383,3
90258,1384,2
90258,1385,3
90258,1386,2
90258,1387,3
90258,1388,3
8143,1389,1
8143,1238,1
8143,1239,1
8143,1390,1
8143,1240,1
8143,1391,1
8143,851,2
8143,1392,3
8143,269,2
8143,1393,3
8143,856,2
8143,1394,3
8143,271,2
8143,231,3
8143,860,2
8143,273,2
8143,1395,3
8143,861,2
8143,275,2
8143,1396,3
8143,862,2
8143,866,2
8143,276,2
8143,1075,2
8143,277,2
8143,1397,3
8143,279,2
8143,867,2
8143,280,2
8143,850,2
8143,381,2
8143,1398,3
8143,1083,2
8143,1084,2
8143,1085,2
8143,1087,2
8143,1086,2
8143,382,2
8143,1405,3
8143,868,2
8143,869,2
8143,1094,2
8143,1099,2
