ind,trip,type
76315,4959,2
76315,10138,3
76315,4964,2
76315,4966,2
76315,7225,2
76315,279,2
76315,10136,3
76315,284,2
18013,1963,2
18013,6986,3
6780,0,1
6780,1,1
6780,2,1
6780,3,2
6780,4,3
6780,5,2
6780,6,3
6780,7,3
6780,8,3
6780,9,2
6780,10,3
6780,11,3
6780,12,3
6780,13,2
6780,14,2
6780,15,2
6780,16,3
6780,17,2
6780,18,2
6780,19,2
6780,20,2
6780,21,2
6780,22,2
6780,23,2
6780,24,2
6780,25,3
6780,26,3
6780,27,3
6780,28,2
49462,29,1
49462,30,1
49462,31,1
49462,32,1
81507,33,2
81507,34,3
81507,35,3
81507,36,3
81507,37,2
81507,38,3
51105,39,1
51105,40,2
51105,41,3
51105,42,2
51105,43,2
51105,44,3
51105,45,2
51105,46,2
51105,47,3
51105,48,2
51105,49,3
51105,50,2
51105,51,3
51105,52,2
51105,53,3
51105,54,2
51105,55,3
51105,56,2
51105,57,2
51105,58,2
51105,59,2
51105,60,2
51105,61,2
51105,62,2
51105,63,3
51105,64,2
51105,65,2
51105,66,2
51105,67,2
51105,68,2
51105,69,2
51105,70,2
51105,71,2
51105,72,2
51105,73,2
51105,74,3
51105,75,2
51105,76,3
51105,77,2
51105,78,3
67304,79,1
50520,80,2
50520,81,3
50520,82,3
50520,83,2
50520,84,3
50520,85,2
50520,86,3
50520,87,2
50520,88,3
50520,89,2
50520,90,3
50520,91,2
50520,92,2
32170,93,2
32170,94,3
32170,95,3
32170,96,2
32170,97,3
32170,98,3
32170,99,3
89228,100,1
89228,101,2
89228,102,3
89228,103,2
89228,104,3
89228,105,2
89228,106,3
89228,107,3
89228,108,2
89228,109,3
89228,110,3
89228,111,3
89228,112,2
89228,113,2
89228,114,2
89228,115,3
89228,116,2
89228,117,3
89228,118,2
89228,119,3
89228,120,3
89228,121,2
89228,122,3
89228,123,3
89228,124,3
89228,125,3
89228,126,2
89228,127,3
89228,128,2
89228,129,3
57905,130,1
57905,131,2
57905,132,3
57905,133,2
57905,134,3
57905,135,3
57905,136,2
57905,137,3
57905,138,2
57905,139,3
57905,140,3
57905,141,2
57905,142,3
57905,143,3
57905,144,2
57905,145,2
90459,146,2
90459,147,3
90459,148,3
90459,149,2
90459,150,2
90459,151,2
62041,152,2
62041,153,3
62041,154,2
62041,155,2
62041,156,3
62041,157,2
62041,158,2
62041,159,3
62041,160,3
62041,161,2
62041,162,3
62041,163,3
62041,164,2
62041,165,3
62041,166,2
62041,167,2
62041,168,2
62041,169,2
62041,170,2
62041,171,2
62041,172,2
62041,173,2
62041,174,2
62041,175,2
62041,176,2
62041,177,2
62041,178,2
62041,179,2
62041,180,2
62041,181,2
62041,182,2
62041,183,2
62041,184,3
62041,185,2
62041,186,3
62041,187,3
62041,188,3
62041,189,2
62041,190,2
62041,191,3
62041,192,3
62041,193,2
61018,194,2
61018,195,3
61018,196,2
61018,197,3
61018,198,2
61018,199,3
61018,200,2
61018,201,3
61018,202,2
61018,203,3
61018,204,2
61018,205,3
61018,206,2
61018,207,3
61018,208,2
61018,209,3
61018,210,3
61018,211,3
61018,212,3
61018,213,3
61018,214,2
61018,215,3
61018,216,3
61018,217,2
61018,218,2
61018,219,3
61018,220,2
61018,221,2
61018,222,2
51621,223,2
51621,224,3
51621,225,2
51621,226,2
51621,227,3
51621,228,2
51621,229,2
51621,230,2
51621,231,2
51621,232,2
51621,233,2
51621,234,2
51621,235,3
51621,236,2
51621,237,2
51621,238,2
51621,239,2
51621,240,2
51621,241,2
51621,242,2
51621,243,2
51621,244,2
51621,245,3
51621,246,2
51621,247,3
51621,248,3
51621,249,2
51621,250,3
51621,251,2
51621,252,2
51621,253,2
51621,254,2
51621,255,2
13112,256,2
13112,257,3
80527,258,2
80527,259,3
71449,260,2
71449,261,3
71449,262,2
71449,263,2
71449,264,3
71449,265,2
71449,266,3
71449,267,3
71449,268,2
71449,269,2
71449,270,2
71449,271,2
71449,272,3
71449,273,3
71449,274,2
71449,132,3
71449,275,2
71449,276,2
71449,277,2
71449,278,3
71449,279,2
71449,280,2
71449,281,2
71449,282,3
71449,283,2
71449,284,2
71449,285,2
64055,286,1
64055,287,2
64055,235,3
64055,288,2
64055,289,2
64055,290,2
64055,291,2
64055,292,2
64055,293,2
64055,294,2
64055,295,2
64055,296,3
9276,297,1
9276,298,2
9276,299,3
9276,300,2
9276,301,3
9276,302,2
9276,303,3
9276,304,2
9276,305,3
9276,306,3
9276,307,3
9276,308,3
9276,309,2
9276,310,3
9276,311,3
9276,312,3
9276,313,3
9276,314,3
9276,315,2
9276,316,3
9276,317,2
9276,318,3
9276,319,3
9276,320,3
9276,321,2
9276,322,3
9276,323,2
9276,324,2
9276,325,2
9276,326,3
9276,327,3
9276,328,2
9276,329,2
9276,330,2
9276,331,3
9276,332,2
9276,333,3
9276,334,2
9276,335,3
9276,336,2
9276,337,2
9276,338,2
9276,339,2
9276,340,2
9276,341,2
9276,342,2
9276,343,2
9276,344,2
9276,345,2
9276,346,2
71464,347,2
71464,348,3
71464,349,2
71464,350,2
71464,351,3
71464,352,2
71464,353,3
71464,354,3
71464,355,2
71464,356,2
71464,357,3
71464,358,2
71464,359,3
71464,360,3
71464,277,2
71464,361,3
71464,279,2
71464,280,2
