bus,direction,stop_index,stop_id
L13,2,4,10109
L13,2,5,10110
L13,2,6,10111
L13,2,7,10174
L13,2,8,10175
L13,2,9,10176
L13,2,10,10177
L13,2,11,10178
L13,2,12,10179
L13,2,13,10116
L13,2,14,10117
L13,2,15,10013
L13,2,16,10014
L13,2,17,10015
L13,2,18,10016
L13,2,19,10017
L13,2,20,10180
L13,2,21,10034
L13,2,22,10035
L13,2,23,10036
L13,2,24,10037
L13,2,25,10038
L13,2,26,10039
L13,2,27,10040
L13,2,28,10041
L13,2,29,10042
L13,2,30,10043
L13,2,31,10044
L13,2,32,10045
L13,2,33,10181
L13,2,34,10182
L13,2,35,10183
L13,2,36,10184
L13,2,37,10185
L13,2,38,10186
L13,2,39,10187
L13,2,40,10188
L13,2,41,10048
L13,2,42,10049
L14,1,0,10001
L14,1,1,10003
L14,1,2,10033
L14,1,3,10018
L14,1,4,10034
L14,1,5,10035
L14,1,6,10036
L14,1,7,10037
L14,1,8,10038
L14,1,9,10039
L14,1,10,10189
L14,1,11,10190
L14,1,12,10191
L14,1,13,10192
L14,1,14,10193
L14,1,15,10194
L14,1,16,10195
L14,1,17,10196
L14,1,18,10205
L14,2,0,10206
L14,2,1,10207
L14,2,2,10208
L14,2,3,10209
L14,2,4,10210
L14,2,5,10211
L14,2,6,10212
L14,2,7,10213
L14,2,8,10214
L14,2,9,10060
L14,2,10,10061
L14,2,11,10062
L14,2,12,10063
L14,2,13,10064
L14,2,14,10065
L14,2,15,10066
L14,2,16,10031
L14,2,17,10032
L14,2,18,10001
L15,1,0,10215
L15,1,1,10003
L15,1,2,10018
L15,1,3,10019
L15,1,4,10020
L15,1,5,10021
L15,1,6,10022
L15,1,7,10023
L15,1,8,10216
L15,1,9,10217
L15,1,10,10218
L15,2,0,10219
L15,2,1,10220
L15,2,2,10221
L15,2,3,10012
L15,2,4,10013
L15,2,5,10014
L15,2,6,10015
L15,2,7,10016
L15,2,8,10017
L15,2,9,10066
L15,2,10,10031
L15,2,11,10032
L15,2,12,10215
L16,1,0,10001
L16,1,1,10002
L16,1,2,10003
L16,1,3,10033
L16,1,4,10018
L16,1,5,10005
L16,1,6,10006
L16,1,7,10222
L16,1,8,10223
L16,1,9,10224
L16,1,10,10225
L16,1,11,10226
L16,1,12,10227
L16,1,13,10228
L16,1,14,10229
L16,1,15,10230
L16,1,16,10231
L16,1,17,10232
L16,1,18,10233
L16,1,19,10234
L16,1,20,10235
L16,1,21,10236
L16,1,22,10237
L16,1,23,10238
L16,1,24,10239
L16,1,25,10240
L16,2,0,10241
L16,2,1,10242
L16,2,2,10243
L16,2,3,10244
L16,2,4,10245
L16,2,5,10246
L16,2,6,10247
L16,2,7,10248
L16,2,8,10249
L16,2,9,10250
L16,2,10,10251
L16,2,11,10252
L16,2,12,10253
L16,2,13,10254
L16,2,14,10255
L16,2,15,10256
L16,2,16,10257
L16,2,17,10258
L16,2,18,10259
L16,2,19,10027
L16,2,20,10028
L16,2,21,10029
L16,2,22,10066
L16,2,23,10031
L16,2,24,10032
L16,2,25,10001
L17,1,0,10002
L17,1,1,10003
L17,1,2,10033
L17,1,3,10018
L17,1,4,10260
L17,1,5,10261
L17,1,6,10262
L17,1,7,10263
L17,1,8,10264
L17,1,9,10265
L17,1,10,10266
L17,1,11,10267
L17,1,12,10268
L17,1,13,10269
L17,1,14,10270
L17,1,15,10271
L17,1,16,10272
L17,1,17,10273
L17,1,18,10274
L17,1,19,10275
L17,1,20,10276
L17,1,21,10277
L17,2,0,10278
L17,2,1,10279
L17,2,2,10280
L17,2,3,10281
L17,2,4,10282
L17,2,5,10283
L17,2,6,10284
L17,2,7,10285
L17,2,8,10286
L17,2,9,10287
L17,2,10,10288
L17,2,11,10289
L17,2,12,10290
L17,2,13,10291
L17,2,14,10292
L17,2,15,10293
L17,2,16,10294
L17,2,17,10295
L17,2,18,10296
L17,2,19,10297
L17,2,20,10066
L17,2,21,10031
L17,2,22,10032
L18,1,0,10298
L18,1,1,10299
L18,1,2,10300
L18,1,3,10301
L18,1,4,10302
L18,1,5,10303
L18,1,6,10304
L18,1,7,10305
L18,1,8,10306
L18,1,9,10307
L18,1,10,10308
L18,1,11,10076
L18,1,12,10077
L18,1,13,10078
L18,1,14,10079
L18,1,15,10080
L18,1,16,10081
L18,1,17,10082
L18,1,18,10083
L18,1,19,10309
L18,1,20,10310
L18,1,21,10064
L18,1,22,10065
L18,1,23,10018
L18,1,24,10311
L18,1,25,10312
L18,1,26,10313
L18,1,27,10314
L18,1,28,10315
L18,1,29,10316
L18,1,30,10163
L18,1,31,10164
L18,1,32,10165
L18,1,33,10166
L18,1,34,10167
L18,1,35,10168
L18,1,36,10144
L18,1,37,10145
L18,1,38,10146
L18,1,39,10169
L18,1,40,10170
L18,1,41,10171
L18,1,42,10152
L18,1,43,10153
L18,2,0,10103
L18,2,1,10104
L18,2,2,10172
L18,2,3,10173
L18,2,4,10109
L18,2,5,10110
L18,2,6,10111
L18,2,7,10174
L18,2,8,10175
L18,2,9,10176
L18,2,10,10177
L18,2,11,10317
L18,2,12,10318
L18,2,13,10319
L18,2,14,10320
L18,2,15,10321
L18,2,16,10322
L18,2,17,10180
L18,2,18,10034
L18,2,19,10035
L18,2,20,10323
L18,2,21,10324
L18,2,22,10086
L18,2,23,10087
L18,2,24,10088
L18,2,25,10089
L18,2,26,10090
L18,2,27,10091
L18,2,28,10092
L18,2,29,10093
L18,2,30,10325
L18,2,31,10326
L18,2,32,10327
L18,2,33,10328
L18,2,34,10329
L18,2,35,10330
L18,2,36,10331
L18,2,37,10332
L18,2,38,10333
L18,2,39,10334
L18,2,40,10335
L19,1,0,10001
L19,1,1,10002
L19,1,2,10018
L19,1,3,10005
L19,1,4,10336
L19,1,5,10324
L19,1,6,10086
